JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,LT,RG,RR
2460311.375,A.D. 2024-Jan-01 21:00:00.0000,-27064041.67878781,144590086.7126206,-8119.724191829562,-29.76183014211658,-5.581912732837945,0.001337045427578953,490.6767023613489,147101174.6842432,
2460311.416666667,A.D. 2024-Jan-01 22:00:00.0000,-27171177.13303347,144569952.8107053,-8114.898988455534,-29.75786401863936,-5.603587979412803,0.00134361190687482,490.6765730507394,147101135.9178977,
2460311.458333333,A.D. 2024-Jan-01 23:00:00.0000,-27278298.28069419,144549740.8817084,-8110.050267033279,-29.7538820386429,-5.625261109698981,0.001350110942288651,490.6764486000393,147101098.6085165,
2460311.5,A.D. 2024-Jan-02 00:00:00.0000,-27385405.06467866,144529450.9332678,-8105.178271017969,-29.74988419777619,-5.646932113033285,0.001356542178837294,490.6763290018611,147101062.7538846,
2460311.541666667,A.D. 2024-Jan-02 01:00:00.0000,-27492497.42787992,144509082.9730597,-8100.283245116472,-29.74587049169345,-5.668600978726731,0.001362905263855296,490.6762142487926,147101028.3517801,
2460311.583333333,A.D. 2024-Jan-02 02:00:00.0000,-27599575.31317538,144488637.008799,-8095.365435317159,-29.74184091605388,-5.690267696064801,0.00136919984697359,490.6761043333971,147100995.3999736,
2460311.625,A.D. 2024-Jan-02 03:00:00.0000,-27706638.66342684,144468113.0482389,-8090.425088852644,-29.73779546652126,-5.711932254307665,0.001375425580087075,490.6759992482138,147100963.8962282,
2460311.666666667,A.D. 2024-Jan-02 04:00:00.0000,-27813687.42148047,144447511.0991718,-8085.462454177439,-29.73373413876366,-5.733594642690412,0.001381582117324864,490.6758989857573,147100933.8382999,
2460311.708333333,A.D. 2024-Jan-02 05:00:00.0000,-27920721.53016687,144426831.1694283,-8080.477781042457,-29.7296569284531,-5.755254850423271,0.001387669115030743,490.675803538518,147100905.2239374,
2460311.75,A.D. 2024-Jan-02 06:00:00.0000,-28027740.93230107,144406073.2668785,-8075.471320405602,-29.72556383126517,-5.776912866691803,0.001393686231732083,490.6757128989622,147100878.0508822,
2460311.791666667,A.D. 2024-Jan-02 07:00:00.0000,-28134745.57068254,144385237.3994309,-8070.443324446678,-29.72145484287875,-5.798568680657094,0.001399633128115418,490.675627059532,147100852.3168684,
2460311.833333333,A.D. 2024-Jan-02 08:00:00.0000,-28241735.38809518,144364323.5750336,-8065.394046552479,-29.71732995897556,-5.820222281455929,0.001405509467003796,490.675546012646,147100828.0196232,
2460311.875,A.D. 2024-Jan-02 09:00:00.0000,-28348710.32730737,144343331.8016733,-8060.323741346598,-29.71318917523985,-5.841873658200957,0.001411314913331907,490.6754697506979,147100805.1568664,
2460311.916666667,A.D. 2024-Jan-02 10:00:00.0000,-28455670.33107194,144322262.0873764,-8055.232664652169,-29.70903248735799,-5.863522799980847,0.001417049134123438,490.6753982660584,147100783.7263106,
2460311.958333333,A.D. 2024-Jan-02 11:00:00.0000,-28562615.34212619,144301114.4402086,-8050.121073462069,-29.70485989101815,-5.885169695860417,0.001422711798471088,490.6753315510741,147100763.7256615,
2460312.0,A.D. 2024-Jan-02 12:00:00.0000,-28669545.30319194,144279888.8682745,-8044.989225953817,-29.70067138190983,-5.906814334880768,0.001428302577511698,490.6752695980675,147100745.1526173,
2460312.041666667,A.D. 2024-Jan-02 13:00:00.0000,-28776460.15697545,144258585.3797188,-8039.837381564081,-29.6964669557235,-5.928456706059391,0.001433821144412484,490.6752123993376,147100728.0048695,
2460312.083333333,A.D. 2024-Jan-02 14:00:00.0000,-28883359.84616749,144237203.9827255,-8034.665800780058,-29.69224660815023,-5.950096798390266,0.00143926717434395,490.67515994716,147100712.2801022,
2460312.125,A.D. 2024-Jan-02 15:00:00.0000,-28990244.3134433,144215744.6855183,-8029.474745333195,-29.68801033488124,-5.971734600843948,0.001444640344471448,490.675112233786,147100697.9759926,
2460312.166666667,A.D. 2024-Jan-02 16:00:00.0000,-29097113.50146262,144194207.4963605,-8024.264478102326,-29.68375813160749,-5.993370102367636,0.001449940333927646,490.6750692514438,147100685.0902106,
2460312.208333333,A.D. 2024-Jan-02 17:00:00.0000,-29203967.3528697,144172592.4235556,-8019.035263136029,-29.67948999401932,-6.01500329188523,0.0014551668238032,490.675030992338,147100673.6204192,
2460312.25,A.D. 2024-Jan-02 18:00:00.0000,-29310805.81029321,144150899.4754467,-8013.787365563214,-29.67520591780592,-6.03663415829738,0.001460319497132101,490.6749974486497,147100663.5642744,
2460312.291666667,A.D. 2024-Jan-02 19:00:00.0000,-29417628.81634637,144129128.6604169,-8008.521051704884,-29.67090589865503,-6.058262690481506,0.001465398038871246,490.6749686125361,147100654.919425,
2460312.333333333,A.D. 2024-Jan-02 20:00:00.0000,-29524436.31362683,144107279.9868897,-8003.23658901453,-29.66658993225241,-6.079888877291817,0.001470402135894222,490.6749444761315,147100647.683513,
2460312.375,A.D. 2024-Jan-02 21:00:00.0000,-29631228.24471671,144085353.4633283,-7997.93424603343,-29.66225801428143,-6.101512707559313,0.001475331476974429,490.6749250315466,147100641.8541731,
2460312.416666667,A.D. 2024-Jan-02 22:00:00.0000,-29738004.55218259,144063349.0982365,-7992.6142924577,-29.65791014042267,-6.123134170091763,0.001480185752777974,490.6749102708688,147100637.4290332,
2460312.458333333,A.D. 2024-Jan-02 23:00:00.0000,-29844765.1785755,144041266.9001584,-7987.27699907124,-29.65354630635344,-6.14475325367368,0.001484964655850796,490.6749001861619,147100634.4057142,
2460312.5,A.D. 2024-Jan-03 00:00:00.0000,-29951510.06643089,144019106.8776783,-7981.922637745738,-29.6491665077473,-6.166369947066277,0.001489667880610224,490.6748947694666,147100632.7818297,
2460312.541666667,A.D. 2024-Jan-03 01:00:00.0000,-30058239.15826864,143996869.0394212,-7976.551481500268,-29.64477074027367,-6.187984239007398,0.001494295123340095,490.6748940128005,147100632.5549869,
